,importance
region_jacksonville,0.00021955968
region_indianapolis,0.00021944872
Model_Versa,0.00021845063
Model_430i,0.00021841329
region_pittsburgh,0.00021790284
region_new haven,0.00021786508
Model_Altima,0.00021769005
region_inland empire,0.00021756114
region_milwaukee,0.0002175227
region_eastern NC,0.00021743024
Trim_Delux Grade,0.00021708809
Series_KJ,0.00021705608
Series_ZWA10L,0.00021551836
region_charlotte,0.00021534762
Trim_Custom,0.00021468638
Series_RZN191L/RZN196L/VZN195L,0.00021456697
region_el paso,0.0002140926
Series_WK,0.00021272525
Model_Transit Connect,0.00021253413
region_missoula,0.00021245942
Series_ZGX10L,0.00021136297
Model_MX-5,0.00021127576
Series2_AN,0.00021034818
FuelInjectionType_Common Rail Direct Injection Diesel (CRDI),0.0002100542
LaneDepartureWarning_Optional,0.00020990185
Trim2_1/2 ton nominal,0.00020963058
Model_Kicks,0.00020840364
Trim_4 MATIC,0.00020824902
Series_GSK50L/UPK50L/USK50L/GSK51L/UPK51L/USK51L/UPK52L/USK52L/UPK55L/USK55LUPK56L/USK56L/UPK57L/USK57L,0.00020797753
Model_Flex,0.00020740545
Series_AGV10L/AGV15L/GGV10L/GGV15L,0.00020731242
Model_Fit,0.00020726923
region_toledo,0.0002069853
region_corpus christi,0.00020635185
state_nm,0.00020623567
Series2_QF,0.00020521399
region_gainesville,0.00020324595
region_long island,0.000203219
Series2_L Series,0.00020311492
Model_Sequoia,0.00020301383
Model_GLK-Class,0.00020234303
region_fayetteville,0.00020215719
Series_RZN171L/VZN170L,0.00020202232
Model_Outback,0.00020187165
region_birmingham,0.0002018165
Trim_Supercharged,0.00020114922
Trim_1500 Work Truck/Fleet/Base,0.00019977479
state_nv,0.0001997473
"Trim_SE Popular, ECO, Sport, Limited",0.0001996528
AirBagLocCurtain_1st Row (Driver and Passenger),0.0001996373
Trim_LS,0.00019864945
Series_EL-Limited,0.00019852669
Model_E-Class,0.00019817354
Model_Charger,0.00019544919
BodyClass_Wagon,0.00019535354
Model_ES,0.00019317289
Series_GSU40L/GSU45L/ASU40L/GVU48L,0.00019313146
Series_XLT,0.00019267762
Trim_BLUETEC 4-MATIC,0.00019252134
Series_A6 2.0T quattro premium plus,0.00019212672
region_omaha / council bluffs,0.0001920992
Model_Yaris,0.00019205418
Series_V6 Coupe,0.00019192888
state_ok,0.0001915344
Model_C-Max,0.0001913729
region_roanoke,0.0001904326
Trim2_SAV,0.00019013381
condition_good,0.00019004995
Series_4-Series,0.00019004836
WheelBaseType_Super Long,0.00018989315
region_medford-ashland,0.00018939977
region_wichita,0.00018861497
Trim_Base/Hybrid,0.00018857166
state_al,0.00018797135
Series_C250,0.00018782815
Model_Envoy,0.00018730116
condition_like new,0.00018700179
Trim_3500-Laramie,0.00018683428
region_mcallen / edinburg,0.00018674023
Trim_330i xDrive SA,0.00018625817
state_in,0.00018612461
Model_S90,0.00018595559
Make_LINCOLN,0.00018498
Model_Yukon,0.00018453221
region_york,0.00018380533
Model_Sedona,0.00018331535
Model_535i,0.00018327773
Trim_LT (1LT),0.00018313786
Make_CHEVROLET,0.00018300649
Series_Premium Plus Quattro,0.00018266789
Series_UCK40L/UCK41L,0.00018266594
region_danville,0.00018254631
Model_CR-V,0.00018221886
FuelTypePrimary_Hybrid (HEV),0.00018133628
Trim_Limited+M/R+ES+NAVI,0.00018125495
Trim_Limited,0.00018123047
Trim_Work Truck,0.00018098371
Series_Heavy Duty,0.00018053295
Series2_QF F/L,0.00018044419
Trim_Citadel,0.0001798581
Make_MAZDA,0.00017886177
Series_Sport,0.00017868866
region_central NJ,0.00017857691
Series_Crossover,0.00017848413
region_nashville,0.00017841322
Series_I4 Convertible,0.00017840174
Trim_Trailhawk,0.00017798804
Series2_Mega Cab,0.0001774742
region_fort wayne,0.00017721826
Model_Legacy,0.00017658358
Model_Corolla,0.00017645312
Series_JC,0.00017613375
Model_Optima,0.00017579095
Trim_SEL,0.00017450738
Series_5-Series,0.00017429519
Make_HONDA,0.00017243835
Series_7-series,0.00017234866
Series_Titanium,0.00017159202
Model_Accent,0.00017152374
Model_A8,0.00017077994
Model_Ridgeline,0.00017070382
Series_TRN220L/TRN225L/GRN225L,0.0001706951
region_merced,0.00017055965
Series_Prestige quattro,0.00017035742
Series_M157,0.00017007873
Model_Escalade ESV,0.0001695156
region_bakersfield,0.00016874756
state_ks,0.00016859546
Model_Outlander Sport,0.0001683911
Trim_XSE,0.00016831658
Series2_S (Sport),0.00016812864
Series_EX-L,0.0001677855
Model_TL,0.00016775329
Series_SE,0.000167547
Trim_SR5/TRD Pro,0.00016643872
Model_Pilot,0.00016584809
Series_AZE151L,0.00016568846
Series2_Wagon Body type,0.00016456422
Series_GRN250L,0.00016439421
CIB_Optional,0.0001643593
RearVisibilitySystem_Optional,0.00016425396
Model_XV CrossTrek,0.00016422647
state_vt,0.00016383105
region_detroit metro,0.00016375945
Trim_CXL,0.00016326996
state_tx,0.00016314336
Model_Discovery Sport,0.00016313969
